Participant Number,Pre/Post/Intervention,Student/Counselor,Modality,Sampling Rate,Start Time,End Time,Duration,Gender,Extra Info,Mean,Median,Mode,Standard Deviation,Normalized Mean,Normalized Median,Normalized Mode,Normalized Standard Deviation
15,Post,Counselor,Right,8,18:25:51,18:41:13,00:15:22,Females,Angela,0.09,0.101,"[(0.0, 188)]",0.048,0.525,0.587,"[(0.0, 188)]",0.278
15,Post,Student,Left,4,18:25:51,18:41:13,00:15:22,Females,Angela,0.136,0.002,"[(0.002, 81)]",0.266,0.083,0.001,"[(0.001, 81)]",0.162
15,Post,Student,Right,8,18:25:51,18:41:13,00:15:22,Females,Angela,0.571,0.525,"[(0.0, 1206)]",0.455,0.312,0.287,"[(0.0, 1206)]",0.249
15,Intervention,Student,Left,,,,,,,,,,,,,,
15,Intervention,Student,Right,,,,,,,,,,,,,,
16,Pre,Counselor,Left,8,19:08:22,19:20:59,00:12:37,Females,,0.007,0.006,"[(0.006, 170)]",0.008,0.184,0.167,"[(0.167, 170)]",0.235
16,Pre,Counselor,Right,8,19:08:22,19:20:59,00:12:37,Females,,0.044,0.048,"[(0.073, 385)]",0.025,0.502,0.552,"[(0.839, 385)]",0.284
16,Pre,Student,Left,4,19:08:22,19:20:59,00:12:37,Females,,0.027,0.026,"[(0.032, 130)]",0.015,0.385,0.371,"[(0.457, 130)]",0.209
16,Pre,Student,Right,8,19:08:22,19:20:59,00:12:37,Females,,0.042,0.024,"[(0.024, 513)]",0.059,0.118,0.067,"[(0.067, 513)]",0.165
16,Post,Counselor,Left,8,18:02:58,18:12:45,00:9:47,Females,Laura,0.018,0.02,"[(0.0, 21)]",0.016,0.447,0.488,"[(0.0, 21)]",0.388
16,Post,Counselor,Right,8,18:02:58,18:12:45,00:9:47,Females,Laura,0.058,0.061,"[(0.0, 202)]",0.03,0.232,0.244,"[(0.0, 202)]",0.12
16,Post,Student,Left,4,18:02:58,18:12:45,00:9:47,Females,Laura,0.456,0.285,"[(0.002, 121)]",0.428,0.431,0.269,"[(0.002, 121)]",0.404
16,Post,Student,Right,8,18:02:58,18:12:45,00:9:47,Females,Laura,0.584,0.391,"[(0.014, 340)]",0.647,0.254,0.17,"[(0.006, 340)]",0.281
16,Intervention,Student,Left,,,,,,,,,,,,,,
16,Intervention,Student,Right,,,,,,,,,,,,,,
17,Pre,Counselor,Left,8,19:23:31,19:32:34,00:9:03,Females,,0.014,0.01,"[(0.022, 304)]",0.01,0.47,0.333,"[(0.733, 304)]",0.326
17,Pre,Counselor,Right,8,19:23:31,19:32:34,00:9:03,Females,,0.022,0.024,"[(0.0, 423)]",0.014,0.448,0.48,"[(0.0, 423)]",0.28
17,Pre,Student,Left,4,19:23:31,19:32:34,00:9:03,Females,,3.109,3.354,"[(3.383, 64)]",0.802,0.777,0.839,"[(0.846, 64)]",0.2
17,Pre,Student,Right,8,19:23:31,19:32:34,00:9:03,Females,,3.279,3.97,"[(0.0, 275)]",1.555,0.712,0.863,"[(0.0, 285)]",0.338
17,Post,Counselor,Left,8,17:02:23,17:11:57,00:9:34,Females,Stephie,0.717,1.047,"[(1.055, 5)]",0.631,0.374,0.546,"[(0.549, 5)]",0.328
17,Post,Counselor,Right,8,17:02:23,17:11:57,00:9:34,Females,Stephie,0.703,0.304,"[(0.275, 102)]",0.667,0.278,0.12,"[(0.109, 102)]",0.263
17,Post,Student,Left,4,17:02:23,17:11:57,00:9:34,Females,Stephie,0.287,0.265,"[(0.043, 50)]",0.187,0.372,0.344,"[(0.056, 50)]",0.243
17,Post,Student,Right,8,17:02:23,17:11:57,00:9:34,Females,Stephie,0.28,0.25,"[(0.018, 180)]",0.186,0.385,0.344,"[(0.025, 180)]",0.256
17,Intervention,Student,Left,4,14:12:48,14:29:31,00:16:43,,,1.688,1.824,"[(1.561, 37)]",0.612,0.579,0.626,"[(0.536, 37)]",0.21
17,Intervention,Student,Right,8,14:12:48,14:29:31,00:16:43,,,1.915,2.07,"[(2.214, 97)]",0.639,0.597,0.645,"[(0.69, 97)]",0.199
18,Pre,Counselor,Left,8,19:35:07,19:45:29,00:10:22,Females,,0.019,0.024,"[(0.024, 215)]",0.009,0.668,0.857,"[(0.857, 215)]",0.333
18,Pre,Counselor,Right,8,19:35:07,19:45:29,00:10:22,Females,,0.027,0.031,"[(0.0, 354)]",0.016,0.517,0.596,"[(0.0, 354)]",0.303
18,Pre,Student,Left,4,19:35:07,19:45:29,00:10:22,Females,,5.066,5.85,"[(6.032, 57)]",1.663,0.795,0.919,"[(0.947, 57)]",0.261
18,Pre,Student,Right,8,19:35:07,19:45:29,00:10:22,Females,,4.73,4.875,"[(0.0, 118)]",2.107,0.602,0.621,"[(0.0, 121)]",0.268
18,Post,Counselor,Left,8,18:42:59,18:50:25,00:07:26,Females,,0.007,0.002,"[(0.002, 52)]",0.009,0.249,0.069,"[(0.069, 52)]",0.313
18,Post,Counselor,Right,8,18:42:59,18:50:25,00:07:26,Females,,0.06,0.07,"[(0.09, 161)]",0.031,0.451,0.526,"[(0.677, 161)]",0.235
